"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"EES4760_HW5_ex_5_4.nlogox"
"Hilltop stopping q experiment"
"09/16/2026 22:43:29:507 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","random-start","stop-at-hilltop","noise","real-elevation","[step]","clumping","corridor-width"
"1","0","true","true","false","true","8","6.78","975.6682922992126"
"3","0.2","true","true","false","true","12","6.516","977.1734078612025"
"7","0.6","true","true","false","true","13","8.06","527.909736988486"
"8","0.7","true","true","false","true","13","7.764","453.5532897131973"
"6","0.5","true","true","false","true","10","7.344","627.1813152695065"
"5","0.4","true","true","false","true","11","7.188","726.7634818534685"
"9","0.8","true","true","false","true","11","7.636","415.89041034771367"
"2","0.1","true","true","false","true","11","6.528","1030.29586053054"
"4","0.3","true","true","false","true","10","6.756","804.4510146757776"
"1","0","true","true","false","true","9","6.744","1022.197772203618"
"7","0.6","true","true","false","true","14","8.068","523.0998038285467"
"8","0.7","true","true","false","true","14","7.908","451.0165510771235"
"3","0.2","true","true","false","true","13","6.508","982.6684568099943"
"6","0.5","true","true","false","true","11","7.316","622.2603789221113"
"5","0.4","true","true","false","true","12","7.052","726.3933518061389"
"4","0.3","true","true","false","true","11","6.716","820.7184211259"
"2","0.1","true","true","false","true","12","6.472","1054.2937960574577"
"9","0.8","true","true","false","true","12","7.836","407.4741970243732"
"7","0.6","true","true","false","true","15","8.144","512.5777668672339"
"3","0.2","true","true","false","true","14","6.604","985.5955589612465"
"1","0","true","true","false","true","10","6.816","1040.4442124928462"
"8","0.7","true","true","false","true","15","7.92","447.0218677677334"
"5","0.4","true","true","false","true","13","6.92","731.9440940321499"
"6","0.5","true","true","false","true","12","7.504","618.189479409709"
"7","0.6","true","true","false","true","16","8.256","505.3516556352235"
"9","0.8","true","true","false","true","13","7.984","400.7277517241065"
"2","0.1","true","true","false","true","13","6.384","1062.9584527496238"
"8","0.7","true","true","false","true","16","7.952","443.20823528085344"
"3","0.2","true","true","false","true","15","6.592","995.0152934161"
"4","0.3","true","true","false","true","12","6.82","825.0121549890534"
"1","0","true","true","false","true","11","6.856","1065.6281807267508"
"7","0.6","true","true","false","true","17","8.296","502.35681597277295"
"8","0.7","true","true","false","true","17","8.092","439.32836109343276"
"5","0.4","true","true","false","true","14","7.144","735.0412269878777"
"9","0.8","true","true","false","true","14","8.092","394.5523700630013"
"6","0.5","true","true","false","true","13","7.52","612.4258515747464"
"3","0.2","true","true","false","true","16","6.504","1008.5351676314114"
"2","0.1","true","true","false","true","14","6.412","1087.792518384778"
"4","0.3","true","true","false","true","13","6.872","837.2198777464677"
"7","0.6","true","true","false","true","18","8.436","497.86922466942235"
"8","0.7","true","true","false","true","18","8.22","436.2604783450496"
"1","0","true","true","false","true","12","6.88","1101.8169586904758"
"9","0.8","true","true","false","true","15","8.224","387.1574716016988"
"3","0.2","true","true","false","true","17","6.532","1010.2876165016967"
"7","0.6","true","true","false","true","19","8.488","493.31205097721596"
"8","0.7","true","true","false","true","19","8.264","433.1133773529341"
"6","0.5","true","true","false","true","14","7.388","609.5668902669632"
"2","0.1","true","true","false","true","15","6.512","1118.855640044988"
